Model,Baseline Words,Agent Words,Word Change (%),Baseline ROUGE-1,Agent ROUGE-1,ROUGE-1 Change,Baseline ROUGE-L,Agent ROUGE-L,ROUGE-L Change,Baseline TTR,Agent TTR
qwen2.5_3b,389.0 ± 131.3,98.9 ± 18.3,-74.6%,0.1525,0.2374,+0.0849,0.0891,0.1317,+0.0426,0.3693,0.6427
qwen2.5_7b,484.3 ± 106.2,100.4 ± 18.0,-79.3%,0.1352,0.2401,+0.1049,0.0804,0.1323,+0.0519,0.3549,0.6453
gemma-7b-it,144.7 ± 38.5,100.3 ± 26.6,-30.6%,0.2280,0.2419,+0.0139,0.1308,0.1397,+0.0089,0.5008,0.6223
llama3b,405.9 ± 82.4,150.9 ± 44.5,-62.8%,0.1457,0.2281,+0.0824,0.0876,0.1262,+0.0385,0.3322,0.5476
mistral7b,310.2 ± 70.3,109.8 ± 28.5,-64.6%,0.1749,0.2348,+0.0599,0.0974,0.1274,+0.0300,0.4259,0.6444
llama1b,329.3 ± 87.3,92.6 ± 40.3,-71.9%,0.1605,0.2310,+0.0705,0.0965,0.1333,+0.0368,0.3404,0.6267
gemma-2-2b-it,275.2 ± 77.0,105.0 ± 24.6,-61.8%,0.1701,0.2283,+0.0581,0.0975,0.1283,+0.0308,0.4221,0.6025
